Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode,Return,cost,Discount
3744,CA-2019-137848,"Tuesday, January 15, 2019","Monday, January 21, 2019",Standard Class,WB-21850,William Brown,Consumer,United States,New York City,New York,East,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,Cards,Yes,32.1984,2.60064
6238,US-2019-155180,"Tuesday, January 22, 2019","Tuesday, January 29, 2019",Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,Online,No,17.1184,1.38264
1243,US-2019-162859,"Friday, February 15, 2019","Friday, February 22, 2019",Standard Class,PG-18820,Patrick Gardner,Consumer,United States,New York City,New York,East,OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,398.352,3,124.485,COD,No,273.867,18.67275
7236,CA-2019-137337,"Friday, March 8, 2019","Tuesday, March 12, 2019",Standard Class,GB-14575,Giulietta Baptist,Consumer,United States,New York City,New York,East,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2,22.5732,Cards,No,46.8828,3.38598
3974,CA-2019-167556,"Friday, March 29, 2019","Tuesday, April 2, 2019",Standard Class,JM-15250,Janet Martin,Consumer,United States,New York City,New York,East,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",29.8,5,9.3125,COD,Yes,20.4875,1.396875
3976,CA-2019-167556,"Friday, March 29, 2019","Tuesday, April 2, 2019",Standard Class,JM-15250,Janet Martin,Consumer,United States,New York City,New York,East,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,41.328,7,14.9814,COD,Yes,26.3466,2.24721
4092,CA-2019-161473,"Monday, April 1, 2019","Friday, April 5, 2019",Standard Class,TB-21175,Thomas Boland,Corporate,United States,New York City,New York,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,14.352,3,4.6644,COD,Yes,9.6876,0.69966
5144,CA-2019-111213,"Monday, April 1, 2019","Friday, April 5, 2019",Standard Class,FP-14320,Frank Preis,Consumer,United States,New York City,New York,East,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,3.592,1,1.1225,COD,No,2.4695,0.168375
5440,CA-2019-167115,"Thursday, April 4, 2019","Tuesday, April 9, 2019",Standard Class,EH-14185,Evan Henry,Consumer,United States,New York City,New York,East,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,588.784,2,183.995,COD,No,404.789,27.59925
7114,CA-2019-109666,"Friday, April 19, 2019","Friday, April 26, 2019",Standard Class,KM-16720,Kunst Miller,Consumer,United States,New York City,New York,East,OFF-BI-10000174,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",9.28,2,3.248,COD,No,6.032,0.4872
